Planet_Name,Orbital_Eccentricity,Equilibrium_Temperature,Orbit_Type
Kepler-131 b,0.09342614,1102,Circular/Stable
Kepler-96 b,0.09342614,1102,Circular/Stable
K2-97 b,0.207,1566,Circular/Stable
Kepler-98 b,0.09342614,1102,Circular/Stable
TOI-1842 b,0.276,1200,Circular/Stable
EPIC 220674823 b,0,2300,Circular/Stable
NGTS-24 b,0,1499,Circular/Stable
TOI-4406 b,0.15,904,Circular/Stable
GJ 9827 d,0.09342614,675,Circular/Stable
K2-132 b,0.09342614,1102,Circular/Stable
K2-287 b,0.478,804,Highly Eccentric
Kepler-31 d,0.09342614,1102,Circular/Stable
TOI-2285 b,0.3,284,Circular/Stable
TOI-3894 b,0.05,1531,Circular/Stable
HAT-P-26 b,0.12,1102,Circular/Stable
HAT-P-20 b,0.015,970,Circular/Stable
HATS-13 b,0.181,1244,Circular/Stable
K2-36 b,0.093,1328,Circular/Stable
Kepler-10 c,0.13,578,Circular/Stable
Kepler-1513 b,0.306,1102,Highly Eccentric
Kepler-426 b,0.18,1300,Circular/Stable
NGTS-6 b,0,1284,Circular/Stable
HATS-42 b,0.229,1856,Circular/Stable
HATS-15 b,0.126,1505,Circular/Stable
Kepler-102 e,0.089,590,Circular/Stable
HAT-P-21 b,0.23,1102,Circular/Stable
K2-233 d,0.1999,523,Circular/Stable
NGTS-20 b,0.432,688,Highly Eccentric
HATS-6 b,0,713,Circular/Stable
K2-290 c,0,676,Circular/Stable
Kepler-129 b,0.09342614,1102,Circular/Stable
Kepler-1876 b,0.098,1299,Circular/Stable
Kepler-53 b,0.09342614,1102,Circular/Stable
Kepler-62 b,0.09342614,750,Circular/Stable
TOI-178 e,0.09342614,600,Circular/Stable
TOI-199 b,0.09,1102,Circular/Stable
HAT-P-31 b,0.25,1102,Circular/Stable
Kepler-17 b,0.011,1570,Circular/Stable
HATS-39 b,0.275,1645,Circular/Stable
HAT-P-44 b,0.044,1108,Circular/Stable
Kepler-43 b,0.09342614,1620,Circular/Stable
TOI-329 b,0.39,1213,Highly Eccentric
HATS-8 b,0.376,1324,Highly Eccentric
Kepler-20 c,0.076,828,Circular/Stable
TOI-2107 b,0.033,1397,Circular/Stable
K2-33 b,0,1102,Circular/Stable
Kepler-307 c,0.09342614,1102,Circular/Stable
TOI-1248 b,0,952,Circular/Stable
TOI-2416 b,0.32,1080,Highly Eccentric
TOI-4633 c,0.117,1102,Circular/Stable
HAT-P-42 b,0,1428,Circular/Stable
Kepler-167 e,0.29,134,Circular/Stable
Kepler-48 d,0.09342614,1102,Circular/Stable
HD 2685 b,0.091,2061,Circular/Stable
TIC 241249530 b,0.9412,1102,Highly Eccentric
TOI-1443 b,0,521,Circular/Stable
TOI-251 b,0,1102,Circular/Stable
TOI-4551 b,0.101,1102,Circular/Stable
K2-280 b,0.35,787,Highly Eccentric
Kepler-51 d,0.008,381,Circular/Stable
TOI-1749 d,0.062,533,Circular/Stable
TOI-1836 b,0,890,Circular/Stable
Kepler-131 c,0.09342614,1102,Circular/Stable
NGTS-3 A b,0.09342614,1102,Circular/Stable
TOI-2373 b,0.112,860,Circular/Stable
HAT-P-52 b,0.047,1218,Circular/Stable
KOI-94 e,0.019,584,Circular/Stable
Kepler-80 c,0.09342614,1102,Circular/Stable
OGLE-TR-182 b,0,1102,Circular/Stable
TOI-1273 b,0.055,1211,Circular/Stable
TOI-411 b,0.09342614,1241,Circular/Stable
CoRoT-25 b,0,1330,Circular/Stable
HAT-P-12 b,0,963,Circular/Stable
HATS-54 b,0,1429,Circular/Stable
HD 114082 b,0.395,1102,Highly Eccentric
K2-146 b,0.129,1102,Circular/Stable
Kepler-22 b,0.72,279,Highly Eccentric
Kepler-27 b,0.09342614,1102,Circular/Stable
Kepler-412 b,0.09342614,1850,Circular/Stable
TOI-1298 b,0,1278,Circular/Stable
TOI-1347 c,0,1000,Circular/Stable
TOI-2025 b,0.394,1166,Highly Eccentric
HAT-P-29 b,0.09,1102,Circular/Stable
LTT 9779 b,0,1978,Circular/Stable
TOI-1130 b,0.052162,825,Circular/Stable
TOI-558 b,0.298,1061,Circular/Stable
Kepler-26 c,0.09342614,1102,Circular/Stable
TOI-1669 c,0,1285,Circular/Stable
HAT-P-37 b,0.058,1271,Circular/Stable
Kepler-80 e,0.09342614,1102,Circular/Stable
TOI-1468 b,0.09342614,682,Circular/Stable
TOI-1468 c,0.09342614,338,Circular/Stable
TOI-2368 b,0.061,1000,Circular/Stable
HD 22946 d,0.09342614,546,Circular/Stable
K2-32 e,0.043,1066,Circular/Stable
NGTS-2 b,0,1468,Circular/Stable
OGLE2-TR-L9 b,0.09342614,1102,Circular/Stable
TOI-431 d,0,633,Circular/Stable
TOI-628 b,0.072,1586,Circular/Stable
HAT-P-18 b,0.084,852,Circular/Stable
TOI-1451 b,0,723,Circular/Stable
TOI-1751 b,0.327,652,Highly Eccentric
TOI-4153 b,0.039,1669,Circular/Stable
TOI-2498 b,0.089,1443,Circular/Stable
CoRoT-12 b,0.07,1442,Circular/Stable
CoRoT-16 b,0.33,1102,Highly Eccentric
CoRoT-2 b,0.0143,1102,Circular/Stable
HAT-P-24 b,0.07,1102,Circular/Stable
HATS-32 b,0.471,1437,Highly Eccentric
OGLE-TR-132 b,0.09342614,2013,Circular/Stable
Kepler-177 c,0,1102,Circular/Stable
Kepler-48 b,0.09342614,1102,Circular/Stable
Kepler-49 b,0.09342614,1102,Circular/Stable
HD 15337 b,0.09,1001,Circular/Stable
Kepler-6 b,0.09342614,1460,Circular/Stable
HATS-1 b,0.12,1359,Circular/Stable
K2-138 g,0.059,1102,Circular/Stable
Kepler-129 c,0.09342614,1102,Circular/Stable
Kepler-20 d,0.082,430,Circular/Stable
Kepler-94 b,0.09342614,1102,Circular/Stable
Qatar-5 b,0,1415,Circular/Stable
TOI-1130 c,0.0398,650,Circular/Stable
TOI-1753 b,0,1005,Circular/Stable
TOI-1776 b,0,1269,Circular/Stable
TOI-530 b,0,565,Circular/Stable
Kepler-11 c,0.026,1102,Circular/Stable
HD 106315 b,0.093,1153,Circular/Stable
HIP 94235 b,0.32,1060,Highly Eccentric
HD 25463 c,0,1586,Circular/Stable
Kepler-434 b,0.131,1000,Circular/Stable
TOI-2447 b,0.17,414,Circular/Stable
HD 93963 A b,0,1842,Circular/Stable
K2-417 b,0.09342614,558,Circular/Stable
TOI-201 b,0.28,759,Circular/Stable
CoRoT-26 b,0,1600,Circular/Stable
K2-182 b,0.071,966,Circular/Stable
Kepler-418 b,0.2,1102,Circular/Stable
TOI-2158 b,0.07,1188,Circular/Stable
HATS-52 b,0.246,1834,Circular/Stable
Kepler-79 e,0.012,1102,Circular/Stable
TOI-1249 b,0,727,Circular/Stable
TOI-5076 b,0.09342614,615,Circular/Stable
Kepler-177 b,0,1102,Circular/Stable
TOI-1347 b,0,1400,Circular/Stable
TOI-1710 b,0,603,Circular/Stable
HATS-10 b,0.501,1407,Highly Eccentric
HATS-45 b,0.24,1518,Circular/Stable
Kepler-447 b,0.123,1102,Circular/Stable
Kepler-74 b,0,1078,Circular/Stable
POTS-1 b,0.09342614,1102,Circular/Stable
HATS-27 b,0.581,1659,Highly Eccentric
Kepler-107 b,0.1,1592,Circular/Stable
TOI-1898 b,0.485,675,Highly Eccentric
CoRoT-7 b,0,1102,Circular/Stable
Kepler-20 f,0.094,681,Circular/Stable
HATS-5 b,0.019,1025,Circular/Stable
Kepler-106 b,0.09342614,1102,Circular/Stable
TOI-6038 A b,0.09342614,1439,Circular/Stable
K2-141 b,0,2103,Circular/Stable
K2-199 b,0.02,913,Circular/Stable
KOI-1831 d,0.09342614,475,Circular/Stable
Kepler-51 c,0.014,439,Circular/Stable
TOI-519 b,0.33,687,Highly Eccentric
HD 17156 b,0.68,1102,Highly Eccentric
Kepler-20 b,0.083,1187,Circular/Stable
TOI-1194 b,0,1264,Circular/Stable
K2-232 b,0.258,1030,Circular/Stable
HATS-7 b,0.17,1084,Circular/Stable
HD 110067 d,0.09342614,602,Circular/Stable
Kepler-85 c,0.027,1102,Circular/Stable
HAT-P-17 b,0.35,1102,Highly Eccentric
HATS-16 b,0,1592,Circular/Stable
Kepler-106 c,0.09342614,1102,Circular/Stable
Kepler-41 b,0,1790,Circular/Stable
Kepler-5 b,0.09342614,1750,Circular/Stable
HATS-3 b,0,1648,Circular/Stable
TOI-1272 b,0.35,975,Highly Eccentric
TOI-3362 b,0.815,1102,Highly Eccentric
HD 18599 b,0.34,1102,Highly Eccentric
TOI-1478 b,0.024,918,Circular/Stable
HD 110067 c,0.09342614,699,Circular/Stable
Kepler-109 b,0.11,1276,Circular/Stable
Kepler-406 c,0.09342614,1102,Circular/Stable
Kepler-56 b,0.09342614,1102,Circular/Stable
TOI-270 d,0.032,387,Circular/Stable
TOI-3321 b,0.054,1616,Circular/Stable
TOI-1670 b,0.59,1062,Highly Eccentric
Kepler-56 c,0.09342614,1102,Circular/Stable
Kepler-57 c,0.0725,1102,Circular/Stable
EPIC 229004835 b,0.23,804,Circular/Stable
GJ 9827 b,0.09342614,1035,Circular/Stable
HD 3167 b,0,1774,Circular/Stable
Kepler-102 f,0.1,495,Circular/Stable
Kepler-15 b,0.06,1102,Circular/Stable
Kepler-68 b,0.09,1275,Circular/Stable
TOI-480 b,0,1199,Circular/Stable
Kepler-46 b,0.01,543,Circular/Stable
Kepler-77 b,0,1440,Circular/Stable
TOI-2981 b,0.035,1358,Circular/Stable
GJ 3470 b,0.09342614,594,Circular/Stable
HATS-50 b,0.516,1102,Highly Eccentric
Kepler-101 c,0,1413,Circular/Stable
Kepler-30 b,0.042,1102,Circular/Stable
CoRoT-14 b,0,1952,Circular/Stable
HAT-P-11 b,0.2577,847,Circular/Stable
K2-29 b,0.066,1171,Circular/Stable
TOI-1411 b,0,976,Circular/Stable
TOI-1410.01,0,1237,Circular/Stable
TOI-2046 b,0.09342614,1102,Circular/Stable
TOI-4641 b,0.074,1102,Circular/Stable
TOI-544 b,0,999,Circular/Stable
BD+20 594 b,0,1102,Circular/Stable
K2-138 f,0.062,1102,Circular/Stable
K2-290 b,0,1230,Circular/Stable
Kepler-106 e,0.09342614,1102,Circular/Stable
Kepler-60 c,0.09342614,1102,Circular/Stable
TOI-4582 b,0.51,1102,Highly Eccentric
TOI-5398 c,0.14,1242,Circular/Stable
K2-60 b,0,1400,Circular/Stable
KOI-1833 d,0.09342614,613,Circular/Stable
Kepler-113 c,0.09342614,1102,Circular/Stable
TOI-2714 b,0.164,1603,Circular/Stable
TOI-5786 b,0.09342614,1040,Circular/Stable
HD 110067 e,0.09342614,533,Circular/Stable
Kepler-1972 c,0.043,1102,Circular/Stable
TOI-1288 b,0,1203,Circular/Stable
HAT-P-19 b,0.09342614,981,Circular/Stable
HD 332231 b,0,798,Circular/Stable
K2-115 b,0.063,696,Circular/Stable
Kepler-128 b,0.09342614,1102,Circular/Stable
TOI-1801 b,0,494,Circular/Stable
TOI-2076 b,0,688,Circular/Stable
TOI-270 c,0.027,488,Circular/Stable
HAT-P-34 b,0.432,1102,Highly Eccentric
K2-233 b,0.079,1121,Circular/Stable
Kepler-1705 c,0.028,1102,Circular/Stable
TOI-178 f,0.09342614,521,Circular/Stable
HATS-58 A b,0.168,1721,Circular/Stable
KOI-142 b,0.05561,1102,Circular/Stable
Kepler-48 c,0.09342614,1102,Circular/Stable
TOI-1268 b,0.105,919,Circular/Stable
HAT-P-35 b,0.02,1102,Circular/Stable
HD 110067 g,0.09342614,440,Circular/Stable
K2-138 e,0.077,1102,Circular/Stable
Kepler-1655 b,0.19,938,Circular/Stable
HAT-P-22 b,0.02,1102,Circular/Stable
Kepler-408 b,0.09342614,1102,Circular/Stable
NGTS-10 b,0,1332,Circular/Stable
HAT-P-4 b,0,1686,Circular/Stable
HATS-22 b,0.079,858,Circular/Stable
Kepler-91 b,0.09342614,2040,Circular/Stable
TOI-1444 b,0,2130,Circular/Stable
K2-237 b,0.03,1759,Circular/Stable
Kepler-87 c,0.039,403,Circular/Stable
HD 93963 A c,0,1212,Circular/Stable
Kepler-307 b,0.09342614,1102,Circular/Stable
CoRoT-30 b,0.007,1102,Circular/Stable
HAT-P-65 b,0.09342614,1818,Circular/Stable
TOI-1279 b,0,759,Circular/Stable
TOI-559 b,0.151,1180,Circular/Stable
HAT-P-6 b,0,1102,Circular/Stable
HATS-14 b,0.142,1276,Circular/Stable
HIP 97166 b,0.29,702,Circular/Stable
TOI-1470 c,0.5,373,Highly Eccentric
TOI-1807 b,0,1694,Circular/Stable
Kepler-51 b,0.04,543,Circular/Stable
HATS-57 b,0.028,1413,Circular/Stable
HIP 29442 d,0.09342614,920,Circular/Stable
KELT-3 b,0,1102,Circular/Stable
HATS-4 b,0.013,1315,Circular/Stable
KOI-94 b,0.25,1486,Circular/Stable
Kepler-101 b,0.086,1513,Circular/Stable
Kepler-117 b,0.0493,984,Circular/Stable
K2-222 b,0.16,871,Circular/Stable
K2-39 b,0,1102,Circular/Stable
TOI-1736 b,0,1100,Circular/Stable
TOI-1820 b,0.043,1375,Circular/Stable
TOI-1685 b,0,1062,Circular/Stable
TOI-2184 b,0.08,1102,Circular/Stable
GJ 414 A b,0.45,309,Highly Eccentric
HAT-P-56 b,0.09342614,1102,Circular/Stable
TOI-1235 b,0.049,1102,Circular/Stable
Kepler-419 b,0.833,1102,Highly Eccentric
TOI-163 b,0,1669,Circular/Stable
TOI-2128 b,0,781,Circular/Stable
K2-18 b,0.2,284,Circular/Stable
Kepler-428 b,0.22,1070,Circular/Stable
Kepler-107 e,0.1,955,Circular/Stable
Kepler-407 b,0.09342614,1102,Circular/Stable
HAT-P-55 b,0.09342614,1367,Circular/Stable
HD 110067 f,0.09342614,489,Circular/Stable
Kepler-36 b,0,1102,Circular/Stable
TOI-2977 b,0,1544,Circular/Stable
K2-136 c,0.047,470,Circular/Stable
Kepler-60 d,0.09342614,1102,Circular/Stable
TOI-1052 b,0.18,1135,Circular/Stable
HAT-P-49 b,0,1102,Circular/Stable
Kepler-30 c,0.0111,1102,Circular/Stable
CoRoT-31 b,0.02,1102,Circular/Stable
HAT-P-7 b,0,1102,Circular/Stable
HD 42813 b,0.09342614,716,Circular/Stable
Kepler-553 b,0.09342614,1089,Circular/Stable
Qatar-9 b,0,1134,Circular/Stable
HAT-P-53 b,0.134,1778,Circular/Stable
HATS-25 b,0.176,1277,Circular/Stable
Kepler-24 c,0.014,1102,Circular/Stable
HD 21749 c,0.09342614,701,Circular/Stable
K2-24 c,0.07,1102,Circular/Stable
Kepler-11 f,0.013,1102,Circular/Stable
Kepler-99 b,0.09342614,1102,Circular/Stable
NGTS-5 b,0,952,Circular/Stable
TOI-178 g,0.09342614,470,Circular/Stable
HATS-43 b,0.173,1003,Circular/Stable
KOI-3503 b,0.09342614,785,Circular/Stable
Kepler-62 e,0.09342614,270,Circular/Stable
TOI-2525 b,0.17,1102,Circular/Stable
HD 80653 b,0,2463,Circular/Stable
K2-79 b,0.23,1022,Circular/Stable
Kepler-100 c,0.09342614,1102,Circular/Stable
Kepler-80 b,0.09342614,1102,Circular/Stable
TOI-1296 b,0,1415,Circular/Stable
HD 63935 b,0,825,Circular/Stable
K2-261 b,0.274,1036,Circular/Stable
K2-291 b,0,1102,Circular/Stable
Kepler-305 d,0.09342614,1102,Circular/Stable
Kepler-44 b,0.066,1544,Circular/Stable
HD 118203 b,0.301,1371,Highly Eccentric
K2-138 d,0.043,1102,Circular/Stable
K2-31 b,0,1102,Circular/Stable
K2-416 b,0.09342614,447,Circular/Stable
Kepler-37 c,0.099,615,Circular/Stable
Kepler-63 b,0.45,1102,Highly Eccentric
TOI-1246 c,0,862,Circular/Stable
HAT-P-45 b,0.049,1652,Circular/Stable
K2-38 c,0.086,949,Circular/Stable
Kepler-323 b,0.095,1838,Circular/Stable
TOI-1333 b,0.073,1679,Circular/Stable
TOI-244 b,0.09342614,458,Circular/Stable
TOI-4504 c,0.032,1102,Circular/Stable
HD 6061 b,0,1075,Circular/Stable
TOI-178 b,0.09342614,1040,Circular/Stable
TOI-411 c,0.09342614,931,Circular/Stable
TOI-5108 b,0.09342614,1180,Circular/Stable
K2-136 b,0.14,610,Circular/Stable
Kepler-107 c,0.08,1378,Circular/Stable
TOI-1634 b,0,1102,Circular/Stable
HATS-18 b,0.09342614,2069,Circular/Stable
HATS-31 b,0.233,1823,Circular/Stable
HATS-41 b,0.38,1710,Highly Eccentric
Kepler-128 c,0.037,1102,Circular/Stable
TOI-1470 b,0.3,734,Circular/Stable
HATS-44 b,0.279,1161,Circular/Stable
TOI-1855 b,0.033,1701,Circular/Stable
K2-111 b,0.1,1309,Circular/Stable
TOI-1246 d,0,588,Circular/Stable
TOI-1836 c,0,2008,Circular/Stable
GJ 1252 b,0,1102,Circular/Stable
Kepler-9 b,0.0609,1102,Circular/Stable
TIC 365102760 b,0.406,1102,Highly Eccentric
TOI-5678 b,0.14,513,Circular/Stable
CoRoT-17 b,0,1626,Circular/Stable
K2-114 b,0.079,701,Circular/Stable
Kepler-1661 b,0.057,243,Circular/Stable
Kepler-23 b,0.017,1102,Circular/Stable
Kepler-62 d,0.09342614,510,Circular/Stable
Kepler-11 g,0.15,1102,Circular/Stable
Kepler-28 c,0.017,1102,Circular/Stable
NGTS-25 b,0,1101,Circular/Stable
NGTS-30 b,0.294,500,Circular/Stable
K2-36 c,0.089,854,Circular/Stable
Kepler-28 b,0.09342614,1102,Circular/Stable
L 168-9 b,0,998,Circular/Stable
LHS 1815 b,0,1102,Circular/Stable
TOI-3071 b,0.09,2155,Circular/Stable
CoRoT-8 b,0,1102,Circular/Stable
K2-12 b,0.5,1026,Highly Eccentric
TOI-1246 b,0.09342614,955,Circular/Stable
TOI-1696 b,0.09342614,489,Circular/Stable
TOI-4329 b,0.068,1102,Circular/Stable
HAT-P-54 b,0.074,818,Circular/Stable
HATS-34 b,0.108,1445,Circular/Stable
TOI-270 b,0.034,581,Circular/Stable
HAT-P-38 b,0.067,1082,Circular/Stable
KOI-94 c,0.43,1012,Highly Eccentric
Kepler-32 c,0.09342614,1102,Circular/Stable
TOI-1246 e,0,464,Circular/Stable
TOI-5153 b,0.091,906,Circular/Stable
HD 213885 b,0,2128,Circular/Stable
HIP 8152 c,0.2,651,Circular/Stable
Kepler-79 d,0.025,1102,Circular/Stable
TOI-1294 b,0,1393,Circular/Stable
XO-1 b,0,1102,Circular/Stable
TOI-6383 A b,0.05,745,Circular/Stable
WASP-142 b,0,2000,Circular/Stable
WASP-187 b,0,1102,Circular/Stable
WASP-83 b,0,1120,Circular/Stable
WASP-55 b,0,1102,Circular/Stable
TOI-663 d,0.09342614,482,Circular/Stable
WASP-54 b,0.07,1102,Circular/Stable
XO-4 b,0,1102,Circular/Stable
WASP-24 b,0,1102,Circular/Stable
WASP-37 b,0,1102,Circular/Stable
WASP-63 b,0,1102,Circular/Stable
WASP-91 b,0,1160,Circular/Stable
WTS-2 b,0,2000,Circular/Stable
WASP-177 b,0.09342614,1142,Circular/Stable
WASP-3 b,0,1102,Circular/Stable
TrES-4 b,0,1102,Circular/Stable
WASP-35 b,0,1102,Circular/Stable
WASP-173 A b,0,1880,Circular/Stable
WASP-167 b,0.09342614,2329,Circular/Stable
WASP-66 b,0,1102,Circular/Stable
WASP-120 b,0.057,1880,Circular/Stable
Wendelstein-1 b,0.012,2198,Circular/Stable
TOI-784 b,0,1102,Circular/Stable
WASP-165 b,0,1624,Circular/Stable
XO-5 b,0,1230,Circular/Stable
Wendelstein-2 b,0.057,2470,Circular/Stable
WASP-4 b,0,1102,Circular/Stable
WASP-69 b,0,1102,Circular/Stable
WASP-13 b,0,1102,Circular/Stable
WASP-80 b,0.002,825,Circular/Stable
TOI-763 b,0.04,1038,Circular/Stable
WASP-145 A b,0,1200,Circular/Stable
WASP-159 b,0,1850,Circular/Stable
WASP-148 b,0.208,1102,Circular/Stable
WASP-158 b,0,1590,Circular/Stable
WASP-135 b,0,1102,Circular/Stable
WASP-57 b,0.09342614,1338,Circular/Stable
WASP-172 b,0,1740,Circular/Stable
WASP-31 b,0,1102,Circular/Stable
WASP-123 b,0,1520,Circular/Stable
TrES-1 b,0,1102,Circular/Stable
WASP-124 b,0.017,1400,Circular/Stable
WASP-50 b,0.09342614,1395,Circular/Stable
WASP-72 b,0,1102,Circular/Stable
WASP-105 b,0,900,Circular/Stable
WASP-34 b,0.04,1102,Circular/Stable
WASP-15 b,0,1102,Circular/Stable
TOI-757 b,0.39,641,Highly Eccentric
WASP-46 b,0.09342614,1636,Circular/Stable
WASP-90 b,0,1840,Circular/Stable
TOI-837 b,0.09342614,995,Circular/Stable
WASP-45 b,0.09342614,1153,Circular/Stable
TOI-849 b,0,1102,Circular/Stable
WASP-176 b,0,1721,Circular/Stable
WASP-184 b,0,1480,Circular/Stable
WASP-192 b,0,1620,Circular/Stable
WASP-156 b,0,934,Circular/Stable
WASP-56 b,0,1102,Circular/Stable
WASP-42 b,0.09342614,1021,Circular/Stable
WASP-75 b,0,1710,Circular/Stable
WASP-81 b,0.066,1623,Circular/Stable
WASP-110 b,0,1102,Circular/Stable
WASP-113 b,0,1496,Circular/Stable
WASP-7 b,0.09342614,1487,Circular/Stable
TrES-5 b,0.09342614,1480,Circular/Stable
WTS-1 b,0.1,1500,Circular/Stable
WASP-114 b,0.012,2043,Circular/Stable
WASP-94 A b,0,1102,Circular/Stable
WASP-139 b,0,910,Circular/Stable
TOI-763 c,0.04,800,Circular/Stable
WASP-190 b,0,1500,Circular/Stable
WASP-49 b,0,1102,Circular/Stable
WASP-61 b,0,1102,Circular/Stable
XO-3 b,0.29,1102,Circular/Stable
TOI-669 b,0,1125,Circular/Stable
TrES-2 b,0,1102,Circular/Stable
WASP-59 b,0.1,670,Circular/Stable
WASP-82 b,0,1102,Circular/Stable
WASP-2 b,0.09342614,1311,Circular/Stable
WASP-103 b,0.09342614,2508,Circular/Stable
WASP-41 b,0,1102,Circular/Stable
WASP-25 b,0,1102,Circular/Stable
WASP-64 b,0,1689,Circular/Stable
WASP-186 b,0.33,1102,Highly Eccentric
WASP-117 b,0.3,1102,Circular/Stable
WASP-141 b,0,1540,Circular/Stable
WASP-162 b,0.434,910,Highly Eccentric
WASP-169 b,0,1604,Circular/Stable
TOI-663 c,0.09342614,553,Circular/Stable
WASP-87 b,0,1102,Circular/Stable
WASP-160 B b,0,1119,Circular/Stable
WASP-62 b,0,1102,Circular/Stable
WASP-171 b,0,1642,Circular/Stable
WASP-163 b,0.09342614,1638,Circular/Stable
WASP-93 b,0,1942,Circular/Stable
WASP-183 b,0.09342614,1111,Circular/Stable
TOI-677 b,0.435,1252,Highly Eccentric
WASP-129 b,0.096,1100,Circular/Stable
WASP-70 A b,0,1387,Circular/Stable
TOI-824 b,0.09342614,1253,Circular/Stable
V1298 Tau e,0.09342614,1102,Circular/Stable
WASP-131 b,0,1460,Circular/Stable
WASP-136 b,0.09342614,1742,Circular/Stable
WASP-16 b,0,1102,Circular/Stable
WASP-180 A b,0,1540,Circular/Stable
TOI-762 A b,0.083,555,Circular/Stable
WASP-36 b,0.09342614,1733,Circular/Stable
Wolf 503 b,0.409,789,Highly Eccentric
WASP-144 b,0,1260,Circular/Stable
WASP-26 b,0,1102,Circular/Stable
WASP-98 b,0.09342614,1171,Circular/Stable
WASP-100 b,0,1102,Circular/Stable
WASP-65 b,0,1480,Circular/Stable
WASP-79 b,0,1716,Circular/Stable
WASP-44 b,0.09342614,1337,Circular/Stable
WASP-60 b,0,1102,Circular/Stable
WASP-6 b,0.05,1102,Circular/Stable
WASP-20 b,0,1379,Circular/Stable
WASP-97 b,0,1102,Circular/Stable
WASP-38 b,0.03,1102,Circular/Stable
WASP-133 b,0.17,1790,Circular/Stable
WASP-67 b,0,1102,Circular/Stable
WASP-68 b,0,1102,Circular/Stable
TOI-892 b,0.125,1397,Circular/Stable
WASP-138 b,0.09342614,1590,Circular/Stable
WASP-22 b,0.02,1102,Circular/Stable
WASP-48 b,0,1102,Circular/Stable
WASP-181 b,0.09342614,1186,Circular/Stable
WASP-185 b,0.24,1160,Circular/Stable
WASP-74 b,0,1102,Circular/Stable
WASP-170 b,0.09342614,1422,Circular/Stable
WASP-23 b,0.062,1102,Circular/Stable
WASP-161 b,0.09342614,1557,Circular/Stable
WASP-89 b,0.193,1120,Circular/Stable
WASP-14 b,0.09,1102,Circular/Stable
WASP-58 b,0,1102,Circular/Stable
WASP-147 b,0,1404,Circular/Stable
WASP-175 b,0,1571,Circular/Stable
WASP-106 b,0,1102,Circular/Stable
WASP-130 b,0,833,Circular/Stable
WASP-53 b,0.03,1053,Circular/Stable
WASP-150 b,0.3775,1460,Highly Eccentric
WASP-96 b,0,1285,Circular/Stable
TOI-776 c,0.089,420,Circular/Stable
TrES-3 b,0,1102,Circular/Stable
WASP-164 b,0,1610,Circular/Stable
WASP-32 b,0,1102,Circular/Stable
WASP-119 b,0.058,1600,Circular/Stable
WASP-140 b,0.047,1320,Circular/Stable
WASP-73 b,0,1102,Circular/Stable
WASP-95 b,0,1102,Circular/Stable
WASP-88 b,0,1102,Circular/Stable
WASP-101 b,0,1102,Circular/Stable
WASP-182 b,0,1479,Circular/Stable
WASP-85 A b,0,1452,Circular/Stable
WASP-99 b,0,1102,Circular/Stable
TOI-776 b,0.052,520,Circular/Stable
WASP-104 b,0,1516,Circular/Stable
TOI-778 b,0.21,1561,Circular/Stable
TOI-969 b,0.09342614,941,Circular/Stable
WASP-43 b,0,1102,Circular/Stable
WASP-52 b,0,1315,Circular/Stable
TOI-663 b,0.09342614,674,Circular/Stable
WASP-92 b,0,1871,Circular/Stable
WASP-11 b,0,1102,Circular/Stable
WASP-71 b,0,1102,Circular/Stable
WASP-10 b,0.09342614,1370,Circular/Stable
WASP-118 b,0,1729,Circular/Stable
WASP-168 b,0,1340,Circular/Stable
WASP-5 b,0.038,1706,Circular/Stable
WASP-8 b,0.31,1102,Highly Eccentric
WASP-29 b,0.03,1102,Circular/Stable