Planet_Mass_Earth,Equilibrium_Temperature,ra
2.3,410,290.3814122
147.15455,703,124.0338967
352.78953,1633,121.8632568
11.24,677,230.4401147
230.10892,1028,118.4831501
8.82,431,230.4401147
371.85924,1890,4.5239602
13.5,784,296.0039349
5.4,435,270.3172389
170.4,675,355.828682
1.83705,584,153.7090696
22.4,1395,338.3996623
451.31634,2360,256.6722026
3.48,1517,216.9234892
122.68177,1387,171.1303716
232.01474,1458,217.9257785
195.14664,1237,269.5720695
131.89945,1228,4.4471631
258.07796,790,82.7142134
8.32,543,55.4590314
24.5,795,205.3758786
5.11,501,172.3353708
82.6358,650,351.1353785
6.36,698,21.9217346
26.0,1860,312.3400744
298.7587,363,290.8517961
408.72733,400,292.1669417
180.84527,1182,48.4354731
323.23311,2132,319.6995877
7.4,297,285.6365235
530.77344,1264,144.5377709
124.0,742,266.9231001
238.68913,1146,73.3553101
425.25654,814,192.1895676
210.40346,1528,341.3640336
156.05375,772,60.9493919
3.41,467,55.4590314
10.8,443,326.8516615
835.57088,940,70.3397665
7.42,2141,49.178124
921.707,1448,141.9206435
88.99195,718,283.1325335
9.5,1037,23.5934253
734.18362,1472,109.3883818
4.74,1015,348.3372026
13.31,1509,79.621529
39.85588,739,339.0258401
251.40353,1715,16.7786879
92.80589,1331,217.6832961
10.2,714,129.6883026
1379.37529,806,310.2917002
489.45575,1278,292.4588212
1458.83239,1391,161.9090273
624.85065,890,36.1561463
129.03833,1512,215.8014956
23.51942,1294,154.2710615
295.58042,962,188.1373172
26.78,767,120.6116787
27.4,868,197.6830975
410.0007,1741,15.006077
10.7,501,349.3843458
139.8445,1205,84.1527191
731.00534,605,105.4045516
3.87,315,3.9579137
343.0,737,313.7706819
222.47988,750,69.5523415
2.88,354,197.9965833
69.28659,1445,115.9317105
2.14,709,99.2915429
6.8,384,23.507315
6.5,620,349.3843458
4.55,1371,190.0365636
1722.6386,1198,316.6318791
2129.45033,251,298.5508922
129.99182,1381,180.5462193
41.89,306,271.9355015
6.57,368,49.2626428
10.0,880,302.0256247
8.8,531,75.8462827
457.67291,1570,77.612879
136.66622,1074,39.4297435
2.5,634,296.0039349
43.86032,1027,47.5172608
30.3,1722,47.7285242
11.0,1441,20.2148196
2.08,584,49.2626428
196.0,377,135.0194934
2.68,372,172.3353708
81.7,1038,146.3970631
86.7,694,183.563961
46.1687,895,352.1725409
330.54154,1646,139.1125648
11.0,1488,146.3970631
9.7,753,353.9543517
211.99155,1177,58.2639299
20.31,907,20.2148196
2.1,345,290.3814122
298.12454,1561,232.1466406
721.47048,1488,271.3241672
21.3,1372,331.5266563
16.17,410,348.3372026
5.39,800,148.1851516
238.05467,1540,110.1685157
85.3,759,91.0036423
256.17098,1128,170.324325
7.8,943,12.5467785
1064.72516,1728,155.6078632
1678.1424,388,292.6274943
25.1,957,322.9418092
183.38791,1296,289.2974275
30.9,902,171.5151874
158.915,206,282.1856949
11.84,499,157.1440712
2.8,540,302.0256247
38.15,650,20.2148196
56.89157,1237,312.4493079
375.0394,2085,216.5238248
6.7,696,349.2310814
335.94463,1505,75.4801665
9.68,1089,349.3843458
4.1,347,285.6365235
71.51139,1091,89.1300265
657.0,783,292.6634642
15.4,330,156.74726
32.59,441,181.5718341
96.30201,1388,125.3050544
4.72,905,230.4401147
42.44,385,164.8563364
203.41018,1259,307.5966925
19.5,426,316.324003
44.0,563,226.3371468
9.7,498,129.6883026
260.93843,1634,292.9397825
10.18,752,228.2482353
464.98529,1714,130.2951535
241.86742,1512,74.5043816
305.1168,1398,67.418582
13.2,651,157.1440712
12.6,415,148.1851516
295.5819,1345,328.9759206
1.42,1617,106.559098
6.1,743,328.7181708
7.3,523,348.3372026
197.05361,1596,165.3158231
242.8209,1457,72.9005729
8.9,538,157.9356855
24.5,494,63.2739346
14.3,490,157.9356855
788.21445,725,90.4747237
130.9453,689,63.2662165
4.23,425,197.9965833
31.46517,1085,199.80183
436.69623,828,149.8236672
1.94,416,124.5328604
252.35576,1395,279.3581286
21.8,1841,129.6010863
87.08498,295,289.7636212
82.63539,690,359.7933851
2.46,903,154.6449033
333.71983,1750,339.2050832
875.61726,348,277.94363
502.16888,1688,20.1660113
624.0,939,184.9016378
182.43351,1772,28.2825719
112.19399,835,6.6135927
14.67,990,228.2482353
10.15,1077,38.1209678
6.63,828,23.5934253
8.56,871,157.1440712
118.23217,1622,68.8465093
61.5,867,85.0800537
8.75,1616,228.2482353
1080.622,1226,61.6578005
375.0394,1588,73.7014398
346.4347,1459,165.167198
1322.16617,254,291.2012559
2.22,553,124.5328604
6.28,703,42.2476999
222.47988,352,291.653163
1112.39942,440,107.9210254
15.68,741,349.3843458
4.36,782,348.3372026
324.18498,801,15.6543938
638.8351,2097,116.3707214
14.95,582,130.9002258
1694.0339,1998,101.3948048
309.8827,1893,93.1147397
225.65817,1376,119.0598183
63.88351,1352,288.4656683
13.2,598,148.1851516
7.67,2038,183.7203635
1.75,568,239.5775678
2.77,696,191.981531
13.6,638,23.5934253
4.0,441,134.7188514
4.82,326,290.1739741
105.83686,1534,33.1540208
254.0,714,317.9001392
55.61997,1295,224.3560083
2.2,305,172.3353708
200.2319,2410,62.1992072
8.0,1103,11.4802354
77.23269,955,288.6720048
212.94503,378,299.4268472
3.09,557,99.2915429
188.47225,1783,206.0265266
311.47184,1534,39.2823371
464.02947,895,171.0147921
16.4,512,232.1326528
79.4571,1456,272.2670293
117.27927,853,287.4844021
2.0,2310,148.1851516
8.0,600,302.0256247
1.86,773,120.5936065
8.04,359,154.6449033
66.10864,1257,176.2499418
260.61929,1431,87.1880397
117.59651,1471,108.0442066
1830.69162,624,358.0920465
1538.2972,1605,176.2402326
9.13,666,271.9355015
6.37,395,281.1763433
419.5335,441,302.7984228
588.0,837,175.6436366
23.6,635,164.5865592
61.0,1493,15.7885904
3241.84975,2429,24.3544618
136.03056,682,217.6091998
211.99261,1192,227.6586754
44.17815,1254,164.3491401
16.137,1317,53.1594266
349.61125,1529,60.1998256
7.6,686,155.8719377
19.1,435,183.9203614
23.5,469,155.8719377
366.77398,2113,148.4167672
225.34147,1743,277.4780753
104.88337,1528,195.7940145
32.10083,1270,144.8751047
2.53,996,148.3783199
4.53,871,225.0798831
9.6,665,225.0798831
529.81995,1715,37.1555223
5.72,1056,159.4093183
55.30242,1526,61.9410587
123.9537,1700,279.2624729
6.26,1329,217.6091998
8.4,440,189.8392243
6.93,1102,296.1125759
266.9772,1102,94.820735
11.26,1121,230.4799011
203.41018,1100,160.8868435
69.92,1102,291.5885696
6.2,1102,299.2242557
67.0,1102,288.5106679
400.449,1102,163.1010355
14.0,673,282.7372281
166.86075,1322,344.4453632
106.0,806,297.3330716
17.3,1102,298.0794448
6.0,1102,300.5171067
940.74,1017,281.0725563
108.06,1300,289.4346668
317.82,1544,300.1023512
3.51,1102,287.3265292
212.31044,1006,222.2100773
238.3725,1102,108.8251171
241.5508,818,99.8979924
8.1,634,252.426008
194.82881,1327,70.4322947
792.635,1344,207.6554928
508.52545,1102,290.6198948
208.81326,1102,86.8509737
170.032,1102,278.5246658
1.32,1102,306.9286462
7.51,1001,36.8678846
3.7,701,51.7501882
68.96876,1036,163.0323119
99.0,1278,241.3229012
13.0,1285,45.9564744
1144.18227,1166,282.7952558
260.61929,1188,276.8100527
19.5,284,332.5632644
176.07694,1616,265.7603351
921.707,1102,277.6011767
10.9,1230,234.8578846
184.02357,1092,52.3420548
8.1,1102,300.864006
140.16303,1630,288.5814928
19.5,652,243.4888534
206.58846,1000,134.9576234
1147.36055,1061,42.2915093
28.0,850,101.922543
6.15,1102,297.3539994
72.78307,952,221.0582692
14.5,464,251.1158702
40.4,1213,351.3210955
740.51,1657,280.6872998
54.98459,1054,6.7026401
327.35,1898,102.0798591
12.2,885,280.6671392
7.34,1102,291.3861294
17.7,637,51.6403449
4.97,1774,8.7401487
8.7,871,16.4625203
9.7,1187,287.6979913
13.4,430,287.6979913
109.33352,435,23.5214497
20.0,513,47.3841872
4.32,1102,348.9490311
10.36,686,293.1507654
4.0,439,296.4797624
291.438,1442,100.7656871
718.2958,2166,268.8907069
155.7367,1102,182.1662666
1.3,1052,291.0323102
750.07504,1357,311.2583112
4049.13391,517,38.4706782
7.72,521,7.3020115
135.39558,1400,338.6062312
2542.62726,1102,197.3171237
899.45439,1802,26.3389717
7.92,1102,348.9490311
471.65972,1778,21.8711012
19.2,1102,305.8398236
67.059,963,209.3886452
116.00737,1089,298.5508922
1.58,1102,91.0899861
211.35589,604,207.4738488
664.237,2056,306.1239076
43.0,1102,285.3111845
756.4354,1102,94.4447595
147.15455,687,124.6067582
126.49634,1030,73.7667927
228.0,1603,61.4012482
584.8072,1102,292.24719
244.09344,1553,102.8474248
4.04,2130,231.7420543
7.6,381,296.4797624
5.4,938,286.6895986
135.0,1102,286.7380152
637.0,705,21.1861778
292.4036,1437,346.0750861
239.32479,1429,200.6348641
27.5,1102,253.7848853
16.13,1102,288.5308924
1036.12061,906,91.5403204
4.5,1123,93.0578446
7.0,470,30.9050061
11.1,620,117.9246417
3.1,1102,348.9490311
8.7,1102,287.9978721
233.92288,1955,284.4439052
14.1,635,81.8532824
889.9,1660,279.7826586
117.5971,587,15.5518893
311.4734,1102,274.4055335
419.5356,1102,354.7740917
1392.0954,1102,140.6569501
27.0,975,199.1962036
9.0,867,354.240829
519.64945,1102,8.3862555
5.72,2463,140.3390845
85.81,1330,280.6296561
16.4,1102,298.0794448
1493.7,1102,294.0230229
16.0,529,197.7312286
292.72143,1367,114.2833819
8.0,1102,297.1150949
48.30992,1102,289.7917561
953.48522,1080,57.3389409
15.2,886,183.4724742
8.52,602,189.8392243
10.0,1102,174.9602543
327.35,1102,298.6249797
2.9,1102,297.1150949
5.4,588,251.1158702
96.0,708,150.1151015
629.14449,2069,173.9574203
15.9,638,207.3497402
546.66486,2090,76.8673317
51.1,1513,283.255507
6.8,1431,291.3822988
24.472,1650,285.6154492
699.2225,558,350.1417675
617.22586,974,22.4458116
24.7,890,245.9079242
1547.8321,1102,171.2749348
7.44,1102,297.7950939
270.47333,918,126.4337428
533.95172,1102,90.6436658
2302.899,970,111.9164295
324.2,478,297.9168433
96.4,919,198.3885831
1598.35906,1102,155.9841428
266.9772,420,280.7866461
4.3,1586,60.7483361
2.1,1066,252.426008
15.0,1102,289.3414629
3.03,1062,68.5939529
88.03847,981,9.5165832
17.2,460,154.1166869
106.47305,852,19.6101417
11.1,828,287.6979913
89.4,1200,201.9626552
177.9848,1161,84.3267559
9.1,279,289.2172051
9.9,633,83.2692502
160.497,1000,292.8729292
731.00534,1102,16.1849423
1.4,681,287.6979913
1332.605,1626,9.5730343
7.25,1311,149.1235154
11.8,1242,161.8795569
207.54299,1212,285.0965172
74.1,798,306.741134
7.7,1310,240.0333095
11.17,1102,300.864006
5.12,1102,284.9410627
136.66,1102,282.6296334
16.9,1135,337.5102738
3.9,533,189.8392243
4.3,610,67.4128615
14.61,1102,299.1393094
34.62,1443,95.4162204
3.94,1102,299.1393094
26.4,899,322.6023682
2415.4,1952,103.4242023
1102.82,1102,291.7770457
19.0,1102,242.5734559
92.17,1100,288.2545808
6.4,1005,249.6966397
54.03083,1102,80.1058735
8.9,805,13.0800239
53.83,125,167.7745044
18.1,470,67.4128615
7.5,412,137.2015437
35.0,584,297.3330716
403.63,1070,290.5817432
212.31044,1460,296.8372475
246.00042,676,234.8578846
540.311,1102,92.6640226
8.25,1102,288.5308924
794.5,1102,295.4179125
172.58169,1244,316.9614798
26.57,546,54.819538
14.9,470,129.6821253
215.80657,1377,284.5483823
16.5,811,14.1142611
13.71,1241,54.819538
111.0,1102,290.4617926
13.8,805,91.7996988
197.05,1102,222.7673221
378.85336,1429,294.6336944
101.38777,713,88.1468079
9.2,1022,55.2559307
3.8,1592,297.028162
473.56433,1102,184.9787579
1229.99594,1102,42.5582023
232.0159,1171,62.670422
257.431,1102,232.5774696
699.226,1102,305.4413294
689.6911,1505,311.0920041
320.995,1102,167.3279228
7.57,1102,56.3906096
3.07,1862,83.2692502
959.84179,347,258.4503674
200.2329,1645,112.4192251
10.5,825,117.9246417
10.5,1486,297.3330716
17.0,243,285.1670927
6.35,1102,291.8481764
4.66,1133,291.4181275
279.6904,1823,191.7028214
16.6,1005,252.4698351
111.871,1108,213.1438604
190.372,1752,113.7582526
189.10885,1312,176.628323
6.49,1102,76.44594
2.4,1299,299.1604859
336.0,650,286.3760037
38.5,748,241.7639371
785.0401,1102,155.6814593
2.11,1102,288.3953074
1004.33777,1102,340.0846204
6.75,1102,296.1125759
184.3414,1102,324.5359781
263.7989,1102,123.9498431
11.9,727,200.5615762
95.3,1415,256.7706392
6.4,1000,280.3266806
7.32,734,10.0891431
299.07803,1445,0.7744866
4.2,754,300.6154535
8.2,859,290.3926795
6.2,1102,284.9410627
25.06,1102,293.6413146
5.84,1102,286.0471442
1.54,508,45.4624781
41.31769,1062,259.0172522
1112.39942,592,107.4881501
260.61929,1531,201.3748265
1175.971,1102,242.5613635
365.50267,1669,335.3934698
743.71847,1772,294.3374248
36.0,1102,290.4617926
6.64,338,16.6538724
12.97,1102,348.9490311
3.64,1102,297.7950939
353.74302,1102,252.0478813
5.7,1070,101.922543
279.6904,1102,33.1310921
156.684,1458,270.4441831
9.8,973,288.9845512
3.85,1102,288.9612535
12.5,1237,334.8828486
95.34852,904,18.0485164
1.86,716,351.7717763
27.0,1102,172.1216476
209.76,1102,296.2005506
299.07803,1850,286.1103053
9.0,750,283.2125621
734.16,1102,203.6087259
148.42,1438,101.2772396
120.0,1264,167.8214811
7.6,1102,313.5110469
11.41004,798,126.4643579
29.0,458,217.3920159
4.28,1035,351.7717763
37.1,787,291.5953596
84.857,1082,35.3834942
4.47,1102,301.5785316
1058.3739,1102,303.1954355
335.62848,1102,123.250703
168.4499,1659,193.5524603
21.14,523,230.4799011
43.86054,1324,294.9416887
4.5,781,256.9817998
24.0,722,258.7623456
4.23,493,4.7730178
10.0,1075,15.5981441
9.72,931,54.819538
167.17858,1407,294.3068385
388.38826,2037,296.688442
10.48,911,129.6894456
2.71,1102,291.8481764
2.0,976,232.946047
8.7,1198,60.7483361
11.13,564,8.7401487
10.8,1102,287.8872376
181.0,1102,293.7583002
73.0,1040,293.3223259
5.69,800,189.8392243
15.4,1102,242.5734559
35.0,208,283.2125621
143.02278,1102,329.5639152
1910.14873,1180,46.8186159
248.86089,1896,150.5726262
2895.31,1102,292.2367608
22.7,422,51.7501882
406.8224,1102,343.0414932
32.4,1102,174.9602543
441.7837,1102,78.2955912
1017.0509,872,83.8689794
67.4,424,196.2197201
415.704,1700,102.7211432
718.2958,1102,101.0526207
